"species","k","Linf","L0","LT_max","Prof_min","Prof_max","Rango_prof","Región","Profundidad"
"R.agassizii",0.317627225417439,694.34608901478,94.27,710,5,150,145,"Costera",78
"R.agassizii",0.326331622837315,688.845972496369,94.27,710,5,150,145,"Costera",11
"R.agassizii",0.313941650703485,698.921466684411,94.27,710,5,150,145,"Costera",62
"R.agassizii",0.307883742287307,692.155689857687,94.27,710,5,150,145,"Costera",15
"R.agassizii",0.320560139346709,700.74065839144,94.27,710,5,150,145,"Costera",53
"R.agassizii",0.319977336759063,690.829888642904,94.27,710,5,150,145,"Costera",24
"R.agassizii",0.339416570012277,697.565634451158,94.27,710,5,150,145,"Costera",52
"R.agassizii",0.302399808837021,699.384533360081,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.308061047235244,700.376387326951,94.27,710,5,150,145,"Costera",19
"R.agassizii",0.305884214601356,693.98197692212,94.27,710,5,150,145,"Costera",33
"R.agassizii",0.300751065538611,695.329150239738,94.27,710,5,150,145,"Costera",18
"R.agassizii",0.319656581687748,689.899725505251,94.27,710,5,150,145,"Costera",25
"R.agassizii",0.329783179040923,705.823235714678,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.3007849575895,698.439581484985,94.27,710,5,150,145,"Costera",35
"R.agassizii",0.293138667701499,695.80590977523,94.27,710,5,150,145,"Costera",86
"R.agassizii",0.286345950184585,697.04899994489,94.27,710,5,150,145,"Costera",81
"R.agassizii",0.318932313437794,695.860996073191,94.27,710,5,150,145,"Costera",57
"R.agassizii",0.312076121410279,696.109213451615,94.27,710,5,150,145,"Costera",52
"R.agassizii",0.314886911813832,700.371098510605,94.27,710,5,150,145,"Costera",29
"R.agassizii",0.328274191684585,694.324823156186,94.27,710,5,150,145,"Costera",15
"R.agassizii",0.329962359230617,694.881265411654,94.27,710,5,150,145,"Costera",7
"R.agassizii",0.34201516186068,698.617816287988,94.27,710,5,150,145,"Costera",9
"R.agassizii",0.300292579782228,696.373936252578,94.27,710,5,150,145,"Costera",26
"R.agassizii",0.315456792467137,693.790528265967,94.27,710,5,150,145,"Costera",80
"R.agassizii",0.295696689311797,697.040967025035,94.27,710,5,150,145,"Costera",78
"R.agassizii",0.323154193253088,697.806613569016,94.27,710,5,150,145,"Costera",20
"R.agassizii",0.319383988854204,702.293000037584,94.27,710,5,150,145,"Costera",12
"R.agassizii",0.321672036700148,696.11760522277,94.27,710,5,150,145,"Costera",80
"R.agassizii",0.345544087235563,700.510922167343,94.27,710,5,150,145,"Costera",19
"R.agassizii",0.311590280393999,696.04113845171,94.27,710,5,150,145,"Costera",53
"R.agassizii",0.314958321406917,704.077644316969,94.27,710,5,150,145,"Costera",20
"R.agassizii",0.318630880858474,700.666082606771,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.333405032488722,703.094527590649,94.27,710,5,150,145,"Costera",77
"R.agassizii",0.319122104407406,688.459174775285,94.27,710,5,150,145,"Costera",53
"R.agassizii",0.329639406759575,704.038383776678,94.27,710,5,150,145,"Costera",22
"R.agassizii",0.297061879656559,693.335584167955,94.27,710,5,150,145,"Costera",14
"R.agassizii",0.315544394663168,694.389136550598,94.27,710,5,150,145,"Costera",54
"R.agassizii",0.310187749854379,698.570779470853,94.27,710,5,150,145,"Costera",76
"R.agassizii",0.291594834203586,692.827186403497,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.324026715438229,702.39052426016,94.27,710,5,150,145,"Costera",36
"R.agassizii",0.32634240535587,699.275983546636,94.27,710,5,150,145,"Costera",13
"R.agassizii",0.310792008053612,697.81834603567,94.27,710,5,150,145,"Costera",49
"R.agassizii",0.303346203517871,694.088033559999,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.329690161523238,702.304852577809,94.27,710,5,150,145,"Costera",76
"R.agassizii",0.318952422040901,692.402110627893,94.27,710,5,150,145,"Costera",24
"R.agassizii",0.314362888853955,700.40062820585,94.27,710,5,150,145,"Costera",8
"R.agassizii",0.302236413872594,701.589815563141,94.27,710,5,150,145,"Costera",10
"R.agassizii",0.304118067354814,693.832964152143,94.27,710,5,150,145,"Costera",25
"R.agassizii",0.319914507027657,702.642242135721,94.27,710,5,150,145,"Costera",71
"R.agassizii",0.305572312288992,702.521903204023,94.27,710,5,150,145,"Costera",48
"R.agassizii",0.315274303525275,695.453008173742,94.27,710,5,150,145,"Costera",13
"R.agassizii",0.336562736572422,696.146492439701,94.27,710,5,150,145,"Costera",23
"R.agassizii",0.325043766704986,697.711414199061,94.27,710,5,150,145,"Costera",26
"R.agassizii",0.317591621891553,691.573720851133,94.27,710,5,150,145,"Costera",49
"R.agassizii",0.314184757897495,704.589886007995,94.27,710,5,150,145,"Costera",28
"R.agassizii",0.314542767433456,689.86343585497,94.27,710,5,150,145,"Costera",19
"R.agassizii",0.313866230592271,697.043803396196,94.27,710,5,150,145,"Costera",20
"R.agassizii",0.300799856018017,693.754319373447,94.27,710,5,150,145,"Costera",73
"R.agassizii",0.337971287935715,700.634220541496,94.27,710,5,150,145,"Costera",21
"R.agassizii",0.342428677725765,691.300531516342,94.27,710,5,150,145,"Costera",23
"R.agassizii",0.329521959795648,699.052253714397,94.27,710,5,150,145,"Costera",27
"R.agassizii",0.303064717444257,691.667089557076,94.27,710,5,150,145,"Costera",25
"R.agassizii",0.325690635519359,694.219990349317,94.27,710,5,150,145,"Costera",14
"R.agassizii",0.327719007927486,698.255484510016,94.27,710,5,150,145,"Costera",79
"R.agassizii",0.339406988257954,705.794257461679,94.27,710,5,150,145,"Costera",49
"R.agassizii",0.339202214272129,699.926793950876,94.27,710,5,150,145,"Costera",20
"R.agassizii",0.328703328368715,694.695305986729,94.27,710,5,150,145,"Costera",28
"R.agassizii",0.319009435429151,700.493096560821,94.27,710,5,150,145,"Costera",25
"R.agassizii",0.304682525908976,690.903656742147,94.27,710,5,150,145,"Costera",59
"R.agassizii",0.306021980053165,692.457452087617,94.27,710,5,150,145,"Costera",49
"R.agassizii",0.314552630420103,697.547196535435,94.27,710,5,150,145,"Costera",33
"R.agassizii",0.304459478682851,698.520560139984,94.27,710,5,150,145,"Costera",1
"R.agassizii",0.32083513241738,701.267964590987,94.27,710,5,150,145,"Costera",22
"R.agassizii",0.314249316111129,696.81757191982,94.27,710,5,150,145,"Costera",14
"R.agassizii",0.300266813693744,696.849705883425,94.27,710,5,150,145,"Costera",23
"R.agassizii",0.32327155782379,695.420211684598,94.27,710,5,150,145,"Costera",54
"R.agassizii",0.340112619722611,699.199720766975,94.27,710,5,150,145,"Costera",49
"R.agassizii",0.283404643902936,691.567092174228,94.27,710,5,150,145,"Costera",6
"R.agassizii",0.321991506343038,696.718057575061,94.27,710,5,150,145,"Costera",24
"R.agassizii",0.316670671362983,695.188233782264,94.27,710,5,150,145,"Costera",25
"R.agassizii",0.324282073419641,696.523661156323,94.27,710,5,150,145,"Costera",18
"R.agassizii",0.310025623319628,693.893842719459,94.27,710,5,150,145,"Costera",7
"R.agassizii",0.311492169542465,706.267335158432,94.27,710,5,150,145,"Costera",18
"R.agassizii",0.322730776455781,698.415685164855,94.27,710,5,150,145,"Costera",75
